,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bria,8,CF,1515292252,63,6.54,21.99,56.17,6.87
1,Vaini,0,IN,1515292253,78,15.34,74.49,66.61,2.62
2,Belyy Yar,75,RU,1515290400,77,53.6,91.39,-2.21,1.5
3,Pisco,0,PE,1515290400,83,-13.71,-76.2,69.8,13.87
4,Basoko,88,CD,1515292255,58,1.23,23.61,79.75,5.75
5,Fairbanks,1,US,1515290280,83,64.84,-147.72,-5.81,6.08
6,Tramore,0,IE,1515292256,100,52.16,-7.15,38.85,13.47
7,Ljungby,0,SE,1515289800,92,56.83,13.94,19.4,5.82
8,Port Shepstone,0,ZA,1515292258,95,-30.74,30.45,68.1,7.65
9,Bayir,0,TR,1515289800,93,37.27,28.22,39.2,4.7
10,Mahebourg,75,MU,1515290400,83,-20.41,57.7,80.6,17.22
11,Sao Gabriel da Cachoeira,8,BR,1515292261,88,-0.13,-67.09,76.69,2.39
12,Indian Harbour Beach,1,US,1515290280,76,28.15,-80.59,48.2,14.99
13,Trairi,68,BR,1515292262,100,-3.28,-39.27,77.1,10.22
14,Traipu,80,BR,1515292263,90,-9.97,-37.0,74.26,7.2
15,Mponela,20,MW,1515292264,94,-13.53,33.74,59.64,4.74
16,Makakilo City,40,US,1515290220,57,21.35,-158.09,78.8,10.29
17,Mayumba,92,GA,1515292266,100,-3.44,10.65,76.74,6.76
18,Klaksvik,92,FO,1515289800,100,62.23,-6.59,37.4,18.34
19,Sao Filipe,44,CV,1515292267,96,14.9,-24.5,72.01,18.28
20,Sumbe,20,AO,1515292268,100,-11.2,13.84,73.27,3.74
21,Abu Samrah,0,SY,1515292268,90,35.3,37.18,37.32,6.64
22,Hilo,90,US,1515290160,57,19.71,-155.08,77.0,3.36
23,The Valley,20,AI,1515290400,74,18.22,-63.06,78.8,14.99
24,Norman Wells,90,CA,1515290400,77,65.28,-126.83,6.8,13.87
25,Xinye,68,CN,1515292270,94,32.53,112.36,33.45,4.63
26,Pangnirtung,76,CA,1515292271,84,66.15,-65.72,2.49,4.29
27,Antsohihy,92,MG,1515292272,100,-14.88,47.99,71.07,11.01
28,Cayenne,92,GF,1515290400,88,4.94,-52.33,77.0,2.24
29,Hirtshals,0,DK,1515292274,100,57.59,9.96,32.55,3.18
